TransactionID,CustomerID,ProductList,ProductCategoryList,TotalPurchaseAmount,PurchaseDate,PaymentMethod,CustomerAge,CustomerGender,CustomerLocation,PreviousPurchases,AccountCreated
56ce86af-a5bc-4cf7-b680-c17e9dcccdbb,3a3003db-a4be-40aa-a2c4-b10abe003d73,"['deliver open-source technologies', 'optimize real-time interfaces']","['Synergized encompassing capability', 'Proactive maximized policy', 'Implemented multi-state task-force', 'Synergistic attitude-oriented structure']",126.01,2023-05-09,Credit Card,65,Female,North Amandastad,5,0
9ef36d79-74c3-477a-a1ea-1bb610855736,047e18e3-1e2b-4d25-a8c7-b67b7db8cb4b,"['seize efficient users', 'implement bleeding-edge eyeballs']","['Integrated leadingedge capacity', 'Customizable context-sensitive process improvement', 'Exclusive didactic methodology', 'Customer-focused non-volatile Graphic Interface', 'Operative bandwidth-monitored migration']",101.52,2021-12-29,Cash,31,Male,Port Kevin,8,1
17a09b16-0bc4-4f80-a2de-8ee2ed2a546d,551609e1-60a2-4d78-9b83-ef52ceb9d83f,"['brand 24/365 convergence', 'envisioneer intuitive networks', 'enhance mission-critical content', 'deliver distributed vortals', 'monetize efficient applications']","['Networked 3rdgeneration software', 'Multi-lateral maximized migration', 'Pre-emptive maximized circuit', 'Multi-layered value-added functionalities', 'Inverse user-facing structure']",173.37,2020-03-11,Cash,57,Female,South Kathleenstad,0,1
6ed652c7-b209-4ed7-86b8-a9a530e6ba50,e3755eb4-0b7e-4300-a307-f64a57b3f36a,"['streamline killer vortals', 'streamline dot-com supply-chains', 'drive world-class methodologies']","['Face-to-face uniform product', 'Grass-roots next generation website', 'Profit-focused local info-mediaries']",38.93,2022-05-31,PayPal,48,Female,East Tina,2,1
3802948d-898d-4ae4-8353-e02bf90bb32d,137b4416-95ab-4245-8ba6-4958ad257d60,"['extend collaborative markets', 'transition scalable functionalities', 'enhance distributed e-services', 'transition open-source users', 'cultivate robust info-mediaries']","['Synergistic interactive architecture', 'Innovative multi-state flexibility', 'Diverse 6thgeneration open architecture', 'Ergonomic responsive success']",95.28,2023-08-03,PayPal,46,Female,Michaelside,5,0
907372c9-7240-4b9f-a101-020ff9f76bf8,c1190f9f-2f5c-421b-aa40-9234f6cf5439,['exploit efficient portals'],"['Profit-focused impactful groupware', 'Ameliorated scalable methodology', 'Public-key well-modulated challenge']",26.51,2023-06-15,Credit Card,61,Male,New Samanthafort,10,1
fc852d49-d162-4cc5-8cb6-378fc12039ba,47f342ed-0a41-4254-aeb5-df19ce1de7d4,"['optimize vertical convergence', 'seize B2C niches', 'leverage holistic models', 'embrace e-business initiatives']","['Stand-alone even-keeled infrastructure', 'Phased full-range model']",121.88,2020-07-19,PayPal,50,Male,New Roberthaven,10,1
4606a22f-e6c0-49e3-887f-ffcdc0a7ba7e,4a81410d-7f7b-4d0e-8600-c72591209880,"['e-enable transparent channels', 'leverage back-end vortals']",['Re-engineered client-server open architecture'],139.57,2021-12-28,PayPal,60,Male,Graytown,8,0
f8d60546-7320-4ad4-a37d-0124f569da68,6ef4e9cc-f182-4797-80d5-aaf57256315a,"['embrace bricks-and-clicks e-tailers', 'empower efficient users', 'innovate bricks-and-clicks architectures']","['Team-oriented mission-critical hub', 'Monitored exuding protocol']",12.0,2023-03-09,Credit Card,58,Male,Andersonmouth,5,0
8b887185-cba6-4d0c-b59f-2aeb600f9ec7,ac62babd-684f-4c86-ae63-a64b482a5458,"['monetize viral solutions', 'optimize innovative bandwidth', 'drive mission-critical relationships', 'synergize innovative deliverables']","['Ameliorated object-oriented paradigm', 'Synchronized multi-state algorithm']",147.36,2021-11-23,Credit Card,54,Male,Gregoryborough,1,1
